Driver,Gap
LEC,0.0
NOR,0.13
HAM,0.139
SAI,0.222
VER,0.285
RUS,0.356
GAS,0.366
OCO,0.431
PER,0.45
PIA,0.744
TSU,0.974
ZHO,0.975
BOT,1.135
MAG,1.157
RIC,1.251
HUL,1.512
ALO,1.545
ALB,1.592
STR,1.866
SAR,2.104
