Driver,Points2024,Pos2024,Points2023,Pos2023,DifPoints,DifPos
VER,437,1,575,1,-138,0
NOR,374,2,205,6,169,4
LEC,356,3,206,5,150,2
PIA,292,4,97,9,195,5
SAI,290,5,200,7,90,2
RUS,245,6,175,8,70,2
HAM,223,7,234,3,-11,-4
PER,152,8,285,2,-133,-6
ALO,70,9,206,4,-136,-5
GAS,42,10,62,11,-20,1
HUL,41,11,9,16,32,5
TSU,30,12,17,14,13,2
STR,24,13,74,10,-50,-3
OCO,23,14,58,12,-35,-2
MAG,16,15,3,19,13,4
ALB,12,16,27,13,-15,-3
ZHO,4,20,6,18,-2,-2
BOT,0,22,10,15,-10,-7
