Driver,AvgGapToPoleSeconds,AvgGapToPolePercentage
ALB,1.3038695652173928,1.5691075562455663
ALO,0.992083333333334,1.226662414172002
BEA,3.532333333333336,4.099905717589629
BOT,1.8613333333333337,2.2611637345547777
COL,2.2035555555555564,2.610985560893928
DOO,1.5100000000000051,1.8281978327986017
GAS,2.0212083333333326,2.421732522647039
HAM,1.0100833333333317,1.2131782588475284
HUL,1.527,1.8436458576119614
LAW,1.3078333333333347,1.5534606188832518
LEC,0.47770833333333407,0.5921731328629423
MAG,1.7156363636363636,2.0680621856787584
NOR,0.34291666666666804,0.38485126468164976
OCO,1.8753043478260885,2.2649686816661156
PER,1.5330416666666669,1.8769839958357484
PIA,0.5197083333333339,0.6308406015994414
RIC,1.4323333333333332,1.7466157471025257
RUS,0.5419583333333348,0.6605439059592159
SAI,0.7057391304347832,0.8606050336714782
SAR,1.8904999999999994,2.235153468530662
STR,1.3809166666666677,1.652685576514074
TSU,1.1898333333333337,1.4083200769984947
VER,0.331916666666667,0.39950484461102653
ZHO,2.4658695652173925,2.9972880113451272
