Driver ,First,Second ,Third ,TotPodiums
ALB,0,0,2,2
ALO,32,40,34,106
GAS,1,1,3,5
HAM,105,57,40,202
LEC,8,15,20,43
NOR,4,13,9,26
OCO,1,2,1,4
PIA,2,5,3,10
RUS,3,2,10,15
SAI,4,7,16,27
STR,0,0,3,3
VER,63,32,17,112
