Driver,Gap
VER,0.046360506
NOR,0.441725176
HAM,0.515723707
SAI,0.672063331
RUS,0.746463441
LEC,0.887717452
PIA,0.918648486
ALO,0.992056386
GAS,1.036972496
RIC,1.094407692
TSU,1.379816919
STR,1.380241279
ALB,1.404875738
HUL,1.511671687
ZHO,1.633013827
MAG,1.76914063
LAW,1.794591654
OCO,1.979937607
SAR,1.992659699
BOT,2.544981249
PER,3.019629781
