Driver,Gap
LEC,0.07
VER,0.367
HAM,0.421
PIA,0.0
PER,1.814
RUS,0.343
SAI,0.318
NOR,0.308
TSU,0.658
ALO,1.662
GAS,0.644
ALB,0.748
HUL,1.24
MAG,1.363
STR,1.217
OCO,1.085
SAR,1.819
RIC,1.282
ZHO,2.828
BOT,2.183
