Driver,Points,AvgPoints
ALB,4,0.285714286
ALO,49,3.5
BOT,0,0
GAS,6,0.428571429
HAM,150,10.71428571
HUL,22,1.571428571
LEC,177,12.64285714
MAG,5,0.357142857
NOR,199,14.21428571
OCO,5,0.357142857
PER,131,9.357142857
PIA,167,11.92857143
RIC,12,0.857142857
RUS,116,8.285714286
SAI,162,12.46153846
SAR,0,0
STR,24,1.714285714
TSU,22,1.571428571
VER,277,19.78571429
ZHO,0,0
