Driver,Team,Gap
NOR,McLaren,0.0
VER,Red Bull Racing,0.031
SAI,Ferrari,0.322
LEC,Ferrari,0.41
PIA,McLaren,0.62
RUS,Mercedes,0.644
GAS,Alpine,0.688
PER,Red Bull Racing,0.69
ALO,Aston Martin,0.979
LAW,RB,1.009
MAG,Haas F1 Team,1.144
TSU,RB,1.176
HUL,Haas F1 Team,1.214
OCO,Alpine,1.267
STR,Aston Martin,1.429
ALB,Williams,1.721
COL,Williams,1.732
BOT,Kick Sauber,1.822
HAM,Mercedes,1.824
ZHO,Kick Sauber,1.898
