Driver,Gap
NOR,0.0
VER,0.02
HAM,0.275
RUS,0.24
LEC,0.348
SAI,0.265
GAS,0.474
PER,0.626
OCO,0.688
PIA,0.628
ALO,0.745
BOT,0.766
HUL,0.887
STR,0.987
ZHO,1.348
MAG,1.554
TSU,1.602
RIC,1.692
ALB,1.718
SAR,2.126
