Driver,Team,Gap
VER,Red Bull Racing,0.0
PER,Red Bull Racing,0.066
NOR,McLaren,0.292
SAI,Ferrari,0.485
ALO,Aston Martin,0.489
PIA,McLaren,0.563
HAM,Mercedes,0.569
LEC,Ferrari,0.589
RUS,Mercedes,0.811
TSU,RB,1.216
RIC,RB,1.275
HUL,Haas F1 Team,1.297
BOT,Kick Sauber,1.396
ALB,Williams,1.517
OCO,Alpine,1.614
STR,Aston Martin,1.827
GAS,Alpine,1.922
MAG,Haas F1 Team,1.934
SAR,Williams,1.942
ZHO,Kick Sauber,1.946
