Driver,Gap
NOR,0.0
PIA,0.022
VER,0.046
RUS,2.296
SAI,0.43
RIC,0.885
ALB,1.202
HUL,1.09
TSU,0.894
HAM,0.53
LEC,0.605
BOT,1.157
PER,2.539
ALO,0.781
STR,0.726
SAR,1.316
ZHO,2.703
GAS,2.939
MAG,1.321
OCO,2.822
