Driver,GapSector1,GapSector2,GapSector3
NOR,0.14500000000000313,0.0,0.015000000000000568
PIA,0.0920000000000023,0.08999999999999986,0.0
VER,0.0,0.14199999999999946,0.06400000000000006
RUS,0.7220000000000013,1.2769999999999975,0.45700000000000074
SAI,0.004000000000001336,0.4499999999999993,0.13599999999999923
RIC,0.2530000000000001,0.49499999999999744,0.2970000000000006
ALB,0.33000000000000185,0.6950000000000003,0.33699999999999974
HUL,0.12700000000000244,0.7099999999999973,0.41300000000000026
TSU,0.3230000000000004,0.5679999999999978,0.16300000000000026
HAM,0.11100000000000065,0.3719999999999999,0.20700000000000074
LEC,0.18299999999999983,0.35999999999999943,0.2220000000000013
BOT,0.2469999999999999,0.7939999999999969,0.2759999999999998
PER,0.7750000000000021,1.2829999999999977,0.6409999999999982
ALO,0.13800000000000168,0.5509999999999984,0.2519999999999989
STR,0.13700000000000045,0.5729999999999968,0.17599999999999838
SAR,0.3960000000000008,0.6729999999999983,0.40700000000000003
ZHO,0.995000000000001,1.1559999999999988,0.7119999999999997
GAS,1.0899999999999999,1.3839999999999968,0.625
MAG,0.20200000000000173,0.9100000000000001,0.3689999999999998
OCO,1.0230000000000032,1.154,0.8049999999999997
