Driver,Gap
HAM,0.237
VER,0.237
RUS,0.0
STR,0.689
PIA,0.261
RIC,0.436
NOR,0.279
ALO,0.486
PER,1.584
LEC,0.703
MAG,1.174
SAI,0.986
BOT,1.624
SAR,0.883
TSU,0.498
GAS,1.198
HUL,1.993
ALB,0.743
OCO,1.599
ZHO,2.55
