Driver,Team,Gap
VER,Red Bull Racing,0.0
NOR,McLaren,0.404
RUS,Mercedes,0.526
SAI,Ferrari,0.537
HAM,Mercedes,0.589
LEC,Ferrari,0.73
PIA,McLaren,0.734
PER,Red Bull Racing,0.83
HUL,Haas F1 Team,0.948
OCO,Alpine,0.96
RIC,RB,0.975
MAG,Haas F1 Team,1.033
GAS,Alpine,1.045
TSU,RB,1.098
ALO,Aston Martin,1.325
ALB,Williams,1.422
STR,Aston Martin,1.505
BOT,Kick Sauber,1.533
SAR,Williams,1.542
ZHO,Kick Sauber,1.747
