Driver,TotalDiff
ALB,-9.0
ALO,-13.0
BEA,7.0
BOT,-19.0
COL,2.0
DOO,2.0
GAS,26.0
HAM,36.0
HUL,6.0
LAW,3.0
LEC,29.0
MAG,13.0
NOR,-4.0
OCO,-20.0
PER,9.0
PIA,7.0
RIC,9.0
RUS,15.0
SAI,15.0
SAR,10.0
STR,10.0
TSU,-28.0
VER,16.0
ZHO,28.0
