Team,Gap
McLaren,0.0
Ferrari,0.211
Mercedes,0.492
Red Bull Racing,0.028
Williams,1.508
Alpine,1.148
Aston Martin,1.3
Haas F1 Team,0.855
RB,0.445
Kick Sauber,1.742
