,Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,Laps,LapTimePerKM,RacePercentage
30,VER,Red Bull Racing,31.0,75.134,2.0,MEDIUM,10.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.641230335759566,0.4305555555555556
31,VER,Red Bull Racing,32.0,74.88600000000001,2.0,MEDIUM,11.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.583000704390702,0.4444444444444444
32,VER,Red Bull Racing,33.0,74.79400000000001,2.0,MEDIUM,12.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.56139938952806,0.4583333333333333
33,VER,Red Bull Racing,34.0,74.468,2.0,MEDIUM,13.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.48485559990608,0.4722222222222222
34,VER,Red Bull Racing,35.0,75.001,2.0,MEDIUM,14.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.610002347969008,0.4861111111111111
35,VER,Red Bull Racing,36.0,74.715,2.0,MEDIUM,15.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.542850434374266,0.5
36,VER,Red Bull Racing,37.0,74.02900000000001,2.0,MEDIUM,16.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.38177976050716,0.5138888888888888
37,VER,Red Bull Racing,38.0,74.212,2.0,MEDIUM,17.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.424747593331766,0.5277777777777778
38,VER,Red Bull Racing,39.0,73.921,2.0,MEDIUM,18.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.356421695233625,0.5416666666666666
39,VER,Red Bull Racing,40.0,76.99000000000001,2.0,MEDIUM,19.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.07701338342334,0.5555555555555556
40,VER,Red Bull Racing,41.0,91.271,3.0,HARD,1.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,21.43014792204743,0.5694444444444444
41,VER,Red Bull Racing,42.0,73.524,3.0,HARD,2.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.2632073256633,0.5833333333333334
42,VER,Red Bull Racing,43.0,73.48,3.0,HARD,3.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.25287626203334,0.5972222222222222
43,VER,Red Bull Racing,44.0,74.494,3.0,HARD,4.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.490960319323783,0.6111111111111112
44,VER,Red Bull Racing,45.0,73.83200000000001,3.0,HARD,5.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.335524771073022,0.625
45,VER,Red Bull Racing,46.0,73.92500000000001,3.0,HARD,6.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.357360882836346,0.6388888888888888
46,VER,Red Bull Racing,47.0,73.676,3.0,HARD,7.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.298896454566798,0.6527777777777778
47,VER,Red Bull Racing,48.0,73.706,3.0,HARD,8.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.305940361587226,0.6666666666666666
48,VER,Red Bull Racing,49.0,73.67,3.0,HARD,9.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.297487673162713,0.6805555555555556
49,VER,Red Bull Racing,50.0,73.44500000000001,3.0,HARD,10.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.24465837050951,0.6944444444444444
50,VER,Red Bull Racing,51.0,73.705,3.0,HARD,11.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.305705564686544,0.7083333333333334
51,VER,Red Bull Racing,52.0,73.99900000000001,3.0,HARD,12.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.374735853486733,0.7222222222222222
52,VER,Red Bull Racing,53.0,73.72500000000001,3.0,HARD,13.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.310401502700167,0.7361111111111112
53,VER,Red Bull Racing,54.0,74.49600000000001,3.0,HARD,14.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.49142991312515,0.75
54,VER,Red Bull Racing,55.0,74.86500000000001,3.0,HARD,15.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.578069969476402,0.7638888888888888
55,VER,Red Bull Racing,56.0,73.765,3.0,HARD,16.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.3197933787274,0.7777777777777778
56,VER,Red Bull Racing,57.0,73.46600000000001,3.0,HARD,17.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.24958910542381,0.7916666666666666
57,VER,Red Bull Racing,58.0,73.71600000000001,3.0,HARD,18.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.308288330594035,0.8055555555555556
58,VER,Red Bull Racing,59.0,73.631,3.0,HARD,19.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.288330594036157,0.8194444444444444
59,VER,Red Bull Racing,60.0,73.275,3.0,HARD,20.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.204742897393754,0.8333333333333334
60,VER,Red Bull Racing,61.0,73.39200000000001,3.0,HARD,21.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.23221413477342,0.8472222222222222
61,VER,Red Bull Racing,62.0,73.687,3.0,HARD,22.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.301479220474288,0.8611111111111112
62,VER,Red Bull Racing,63.0,73.891,3.0,HARD,23.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.349377788213197,0.875
63,VER,Red Bull Racing,64.0,73.91600000000001,3.0,HARD,24.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.355247710730218,0.8888888888888888
64,VER,Red Bull Racing,65.0,73.608,3.0,HARD,25.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.2829302653205,0.9027777777777778
65,VER,Red Bull Racing,66.0,73.539,3.0,HARD,26.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.266729279173514,0.9166666666666666
66,VER,Red Bull Racing,67.0,74.69800000000001,3.0,HARD,27.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.53885888706269,0.9305555555555556
67,VER,Red Bull Racing,68.0,74.47500000000001,3.0,HARD,28.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.48649917821085,0.9444444444444444
68,VER,Red Bull Racing,69.0,74.23,3.0,HARD,29.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.428973937544026,0.9583333333333334
69,VER,Red Bull Racing,70.0,73.54700000000001,3.0,HARD,30.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.268607654378965,0.9722222222222222
70,VER,Red Bull Racing,71.0,74.05000000000001,3.0,HARD,31.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.38671049542146,0.9861111111111112
71,VER,Red Bull Racing,72.0,74.756,3.0,HARD,32.0,1.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.55247710730218,1.0
72,HAM,Mercedes,1.0,79.399,1.0,SOFT,5.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,18.642639117163654,0.013888888888888888
73,HAM,Mercedes,2.0,75.39500000000001,1.0,SOFT,6.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.702512326837287,0.027777777777777776
74,HAM,Mercedes,3.0,75.045,1.0,SOFT,7.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.620333411598967,0.041666666666666664
75,HAM,Mercedes,4.0,74.825,1.0,SOFT,8.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.568678093449165,0.05555555555555555
76,HAM,Mercedes,5.0,75.102,1.0,SOFT,9.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.63371683493778,0.06944444444444445
77,HAM,Mercedes,6.0,75.11800000000001,1.0,SOFT,10.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.637473585348673,0.08333333333333333
78,HAM,Mercedes,7.0,75.43,1.0,SOFT,11.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.710730218361117,0.09722222222222222
79,HAM,Mercedes,8.0,75.358,1.0,SOFT,12.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.693824841512093,0.1111111111111111
80,HAM,Mercedes,9.0,74.75,1.0,SOFT,13.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.551068325898097,0.125
81,HAM,Mercedes,10.0,75.126,1.0,SOFT,14.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.63935196055412,0.1388888888888889
82,HAM,Mercedes,11.0,75.182,1.0,SOFT,15.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.65250058699225,0.1527777777777778
83,HAM,Mercedes,12.0,75.0,1.0,SOFT,16.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.609767551068323,0.16666666666666666
84,HAM,Mercedes,13.0,75.10900000000001,1.0,SOFT,17.0,2.0,2021,Netherlands,4.259,3,4,3,4,2,4,4,5,72,17.635360413242545,0.18055555555555555
