Driver,Team,Gap
VER,Red Bull Racing,0.0
SAI,Ferrari,0.27
PER,Red Bull Racing,0.359
LEC,Ferrari,0.389
NOR,McLaren,0.4
PIA,McLaren,0.657
ALO,Aston Martin,0.795
RUS,Mercedes,0.809
STR,Aston Martin,0.865
TSU,RB,0.873
HAM,Mercedes,1.045
ALB,Williams,1.215
BOT,Kick Sauber,1.425
MAG,Haas F1 Team,1.512
OCO,Alpine,1.702
HUL,Haas F1 Team,2.061
GAS,Alpine,2.067
RIC,RB,2.17
ZHO,Kick Sauber,2.273
