,Driver,Gap,,,,Driver,Gap,,,
83,PIA,0.613,,,,,,,,
104,PIA,0.434,,,,,,,,
120,PIA,0.074,,,,,,,,
140,PIA,0.154,,,,,,,,
163,PIA,0.361,,,,,,,,
186,PIA,0.628,,,,,,,,
205,PIA,0.734,,,,,,,,
223,PIA,0.418,,,,,,,,
240,PIA,0.022,,,,,,,,
264,PIA,0.868,,,,,,,,
13,RIC,1.113,,,,,,,,
33,RIC,1.553,,,,,,,,
57,RIC,2.17,,,,,,,,
69,RIC,1.275,,,,,,,,
90,RIC,1.274,,,,,,,,
116,RIC,1.376,,,,,,,,
128,RIC,0.928,,,,,,,,
151,RIC,1.212,,,,,,,,
164,RIC,0.436,,,,,,,,
196,RIC,1.692,,,,,,,,
209,RIC,0.975,,,,,,,,
233,RIC,2.13,,,,,,,,
248,RIC,0.975,,,,,,,,
271,RIC,1.523,,,,,,,,
2,RUS,0.32,,,,,,,,
27,RUS,0.844,,,,,,,,
47,RUS,0.809,,,,,,,,
67,RUS,0.811,,,,,,,,
86,RUS,0.773,,,,,,,,
107,RUS,0.826,,,,,,,,
124,RUS,0.488,,,,,,,,
143,RUS,0.273,,,,,,,,
159,RUS,0,,,,,,,,
182,RUS,0.32,,,,,,,,
201,RUS,0.526,,,,,,,,
219,RUS,0,,,,,,,,
255,RUS,2.741,,,,,,,,
265,RUS,0.936,,,,,,,,
3,SAI,0.342,,,,,,,,
41,SAI,0.27,,,,,,,,
62,SAI,0.485,,,,,,,,
85,SAI,0.637,,,,,,,,
101,SAI,0.214,,,,,,,,
123,SAI,0.487,,,,,,,,
141,SAI,0.248,,,,,,,,
170,SAI,0.986,,,,,,,,
184,SAI,0.353,,,,,,,,
202,SAI,0.537,,,,,,,,
225,SAI,0.69,,,,,,,,
242,SAI,0.469,,,,,,,,
266,SAI,0.953,,,,,,,,
17,SAR,1.605,,,,,,,,
38,SAR,2.054,,,,,,,,
77,SAR,1.942,,,,,,,,
98,SAR,2.698,,,,,,,,
115,SAR,1.246,,,,,,,,
155,SAR,1.75,,,,,,,,
171,SAR,0.994,,,,,,,,
198,SAR,2.126,,,,,,,,
217,SAR,1.542,,,,,,,,
230,SAR,1.356,,,,,,,,
252,SAR,1.316,,,,,,,,
277,SAR,4.071,,,,,,,,
10,STR,0.8,,,,,,,,
26,STR,0.778,,,,,,,,
48,STR,0.865,,,,,,,,
74,STR,1.827,,,,,,,,
89,STR,1.178,,,,,,,,
110,STR,0.936,,,,,,,,
131,STR,1.246,,,,,,,,
152,STR,1.293,,,,,,,,
168,STR,0.917,,,,,,,,
192,STR,0.989,,,,,,,,
215,STR,1.505,,,,,,,,
226,STR,0.766,,,,,,,,
246,STR,0.848,,,,,,,,
273,STR,2.557,,,,,,,,
11,TSU,0.964,,,,,,,,
29,TSU,1.075,,,,,,,,
49,TSU,0.873,,,,,,,,
