Year,Podiums,Position
2020,1,Third
2021,1,Third
2021,1,Third
2021,1,Third
2021,1,Second
2022,1,Third
2023,1,Second
2023,1,Second
2023,1,Second
2023,1,Second
2023,1,Third
2023,1,Second
2023,1,Second
2024,1,Third
