,Driver,Position,Q,Qualy
200,NOR,2.0,Q3,1
201,RUS,3.0,Q3,1
202,SAI,4.0,Q3,1
203,HAM,5.0,Q3,1
204,LEC,6.0,Q3,1
205,PIA,7.0,Q3,1
206,PER,8.0,Q3,1
207,HUL,9.0,Q3,1
208,OCO,10.0,Q3,1
209,RIC,11.0,Q2,1
210,MAG,12.0,Q2,1
211,GAS,13.0,Q2,1
212,TSU,14.0,Q2,1
213,ALO,15.0,Q2,1
214,ALB,16.0,Q1,1
215,STR,17.0,Q1,1
216,BOT,18.0,Q1,1
217,SAR,19.0,Q1,1
218,ZHO,20.0,Q1,1
219,RUS,1.0,Q3,1
220,HAM,2.0,Q3,1
221,NOR,3.0,Q3,1
222,VER,4.0,Q3,1
223,PIA,5.0,Q3,1
224,HUL,6.0,Q3,1
225,SAI,7.0,Q3,1
226,STR,8.0,Q3,1
227,ALB,9.0,Q3,1
228,ALO,10.0,Q3,1
229,LEC,11.0,Q2,1
230,SAR,12.0,Q2,1
231,TSU,13.0,Q2,1
232,ZHO,14.0,Q2,1
233,RIC,15.0,Q2,1
234,BOT,16.0,Q1,1
235,MAG,17.0,Q1,1
236,OCO,18.0,Q1,1
237,PER,19.0,Q1,1
238,GAS,20.0,Q1,1
239,NOR,1.0,Q3,1
240,PIA,2.0,Q3,1
241,VER,3.0,Q3,1
242,SAI,4.0,Q3,1
243,HAM,5.0,Q3,1
244,LEC,6.0,Q3,1
245,ALO,7.0,Q3,1
246,STR,8.0,Q3,1
247,RIC,9.0,Q3,1
248,TSU,10.0,Q3,1
249,HUL,11.0,Q2,1
250,BOT,12.0,Q2,1
251,ALB,13.0,Q2,1
252,SAR,14.0,Q2,1
253,MAG,15.0,Q2,1
254,PER,16.0,Q1,1
255,RUS,17.0,Q1,1
256,ZHO,18.0,Q1,1
257,OCO,19.0,Q1,1
258,GAS,20.0,Q1,1
259,VER,1.0,Q3,1
260,LEC,2.0,Q3,1
261,PER,3.0,Q3,1
262,HAM,4.0,Q3,1
263,NOR,5.0,Q3,1
264,PIA,6.0,Q3,1
265,RUS,7.0,Q3,1
266,SAI,8.0,Q3,1
267,ALO,9.0,Q3,1
268,OCO,10.0,Q3,1
269,ALB,11.0,Q2,1
270,GAS,12.0,Q2,1
271,RIC,13.0,Q2,1
272,BOT,14.0,Q2,1
273,STR,15.0,Q2,1
274,HUL,16.0,Q1,1
275,MAG,17.0,Q1,1
276,TSU,18.0,Q1,1
277,SAR,19.0,Q1,1
278,ZHO,20.0,Q1,1
