Driver,Team,Gap
VER,Red Bull Racing,0.0
LEC,Ferrari,0.141
SAI,Ferrari,0.214
PER,Red Bull Racing,0.219
NOR,McLaren,0.353
PIA,McLaren,0.434
HAM,Mercedes,0.456
GAS,Alpine,0.735
RUS,Mercedes,0.826
HUL,Haas F1 Team,0.905
TSU,RB,0.926
STR,Aston Martin,0.936
OCO,Alpine,0.968
ALB,Williams,1.102
ALO,Aston Martin,1.186
BOT,Kick Sauber,1.222
SAR,Williams,1.246
RIC,RB,1.376
MAG,Haas F1 Team,1.378
ZHO,Kick Sauber,1.583
