,X,Y,Speed
329,7346,1722,135
330,7347,1724,132
331,7400,1789,127
332,7440,1886,122
333,7446,1901,119
334,7458,1951,117
335,7458,1984,115
336,7457,2007,113
337,7455,2064,110
338,7454,2072,108
339,7444,2123,106
340,7442,2129,105
341,7426,2178,104
342,7422,2187,103
343,7387,2261,103
344,7370,2289,104
345,7347,2319,105
346,7336,2332,106
347,7316,2355,108
348,7222,2433,110
349,7215,2437,112
350,7168,2463,117
351,7166,2465,119
352,7078,2500,121
353,7064,2503,124
354,6955,2530,130
355,6895,2544,131
356,6810,2559,133
357,6726,2569,147
358,6720,2570,156
359,6530,2596,165
360,6525,2597,170
361,6438,2608,176
362,6408,2611,182
363,6348,2618,187
364,6222,2630,192
365,6197,2631,197
366,6124,2636,200
367,6089,2637,204
368,5999,2641,205
369,5994,2641,207
370,5750,2637,211
371,5720,2636,216
372,5634,2630,223
373,5589,2627,225
374,5518,2621,228
375,5463,2616,231
376,5256,2591,235
377,5231,2588,237
378,5162,2577,239
379,5126,2571,241
380,5104,2567,243
381,4938,2535,246
382,4927,2533,248
383,4683,2474,250
384,4678,2472,252
385,4576,2446,252
386,4560,2442,254
387,4437,2406,256
388,4381,2388,258
389,4229,2339,259
390,4093,2293,261
391,4025,2269,264
392,3899,2221,265
393,3703,2148,267
394,3690,2144,267
395,3600,2112,268
396,3517,2088,270
397,3505,2085,271
398,3260,2010,272
399,3192,1989,273
400,3115,1963,274
401,3058,1943,274
402,2944,1901,275
403,2909,1887,276
404,2747,1822,264
405,2658,1784,257
406,2624,1768,250
407,2433,1679,222
408,2421,1673,195
409,2292,1608,161
410,2287,1606,153
411,2217,1575,146
412,2147,1550,139
413,2131,1549,137
414,2039,1551,135
415,2036,1551,133
416,2000,1561,127
417,1989,1571,124
418,1944,1605,122
419,1917,1627,119
420,1900,1641,117
421,1847,1691,116
422,1837,1698,115
423,1757,1751,115
424,1753,1754,114
425,1703,1775,114
426,1690,1779,113
427,1633,1791,113
428,1605,1794,110
429,1545,1793,107
430,1523,1793,102
431,1471,1786,98
432,1443,1776,96
433,1394,1757,94
434,1387,1753,93
435,1375,1747,92
436,1343,1727,91
437,1329,1717,90
438,1305,1696,90
439,1289,1680,90
440,1255,1635,90
441,1251,1628,92
442,1224,1568,94
443,1221,1560,96
444,1210,1504,100
445,1207,1482,101
446,1207,1419,103
447,1207,1417,105
448,1215,1330,117
449,1217,1323,120
450,1232,1229,123
451,1236,1201,127
452,1247,1140,134
453,1250,1117,142
454,1268,1019,149
455,1270,1003,157
456,1285,922,162
457,1288,898,167
458,1306,799,175
459,1319,723,183
460,1322,710,186
461,1337,623,190
462,1357,511,195
463,1366,456,201
464,1378,389,204
465,1402,252,207
466,1406,226,210
467,1424,121,213
468,1432,74,218
469,1441,26,221
470,1449,-23,224
471,1458,-71,226
472,1484,-221,228
473,1484,-225,230
474,1500,-310,232
475,1516,-404,234
476,1533,-503,236
477,1538,-533,239
478,1552,-608,241
479,1566,-692,244
480,1572,-728,237
481,1587,-823,230
482,1596,-894,222
483,1600,-947,214
484,1601,-955,211
485,1601,-1070,208
486,1599,-1086,206
487,1573,-1209,198
488,1555,-1270,195
489,1535,-1323,192
490,1503,-1377,185
491,1464,-1418,186
492,1426,-1451,187
493,1320,-1535,188
494,1296,-1550,190
495,1252,-1566,193
496,1249,-1566,196
497,1142,-1595,201
498,1134,-1597,203
499,1024,-1606,205
500,923,-1605,208
501,875,-1603,211
502,751,-1596,214
503,623,-1590,216
504,598,-1588,219
505,512,-1584,224
506,449,-1579,229
507,386,-1574,232
508,215,-1549,236
509,193,-1545,238
510,85,-1520,240
511,77,-1518,241
512,-40,-1482,243
513,-181,-1430,245
514,-223,-1410,247
515,-415,-1311,250
516,-439,-1297,253
517,-486,-1264,254
518,-495,-1256,255
519,-607,-1166,256
520,-632,-1143,258
521,-737,-1031,259
522,-832,-903,260
523,-853,-866,262
524,-942,-691,264
525,-947,-683,265
526,-989,-559,266
527,-999,-509,267
528,-1015,-387,269
529,-1015,-356,269
530,-989,-118,270
531,-984,-84,271
532,-892,188,272
533,-886,201,274
534,-810,374,275
535,-799,402,277
536,-721,604,279
537,-677,718,281
538,-620,865,283
539,-603,911,284
540,-554,1035,285
541,-528,1103,286
542,-482,1222,287
543,-468,1257,288
544,-421,1376,291
545,-418,1387,291
546,-366,1522,291
547,-333,1606,292
548,-228,1878,295
549,-213,1919,295
550,-194,1967,295
551,-166,2041,296
552,-136,2117,297
553,-95,2226,298
554,-42,2361,299
555,18,2521,299
556,57,2621,300
557,85,2692,300
558,91,2707,301
559,151,2864,301
560,177,2931,302
561,200,2989,302
562,245,3107,303
563,309,3272,303
564,311,3277,304
565,388,3476,304
566,460,3661,305
567,520,3807,306
568,530,3832,306
