,Driver,Team,GP,Year,Strategy
405,SAI,McLaren,Russia,2019,SOFT-MEDIUM
406,PER,Aston Martin,Russia,2019,SOFT-MEDIUM
407,NOR,McLaren,Russia,2019,SOFT-MEDIUM
408,MAG,Haas F1 Team,Russia,2019,SOFT-MEDIUM
409,HUL,Alpine,Russia,2019,SOFT-MEDIUM-SOFT
410,STR,Aston Martin,Russia,2019,MEDIUM-SOFT
411,KVY,RB,Russia,2019,HARD-SOFT-SOFT
412,RAI,Kick Sauber,Russia,2019,MEDIUM-MEDIUM-SOFT
413,GAS,RB,Russia,2019,MEDIUM-SOFT
414,GIO,Kick Sauber,Russia,2019,SOFT-HARD-MEDIUM
415,KUB,Williams,Russia,2019,MEDIUM-HARD-MEDIUM
416,RUS,Williams,Russia,2019,MEDIUM
417,VET,Ferrari,Russia,2019,SOFT
418,RIC,Alpine,Russia,2019,SOFT-MEDIUM
419,GRO,Haas F1 Team,Russia,2019,SOFT
420,HAM,Mercedes,Bahrain,2020,MEDIUM-MEDIUM-MEDIUM-HARD
421,VER,Red Bull Racing,Bahrain,2020,MEDIUM-MEDIUM-HARD-HARD-MEDIUM
422,ALB,Red Bull Racing,Bahrain,2020,MEDIUM-MEDIUM-MEDIUM-HARD
423,NOR,McLaren,Bahrain,2020,MEDIUM-MEDIUM-MEDIUM-HARD
424,SAI,McLaren,Bahrain,2020,SOFT-SOFT-MEDIUM-HARD
425,GAS,RB,Bahrain,2020,MEDIUM-HARD-HARD
426,RIC,Alpine,Bahrain,2020,MEDIUM-MEDIUM-HARD-HARD
427,BOT,Mercedes,Bahrain,2020,MEDIUM-MEDIUM-HARD-MEDIUM-MEDIUM
428,OCO,Alpine,Bahrain,2020,MEDIUM-MEDIUM-MEDIUM-HARD
429,LEC,Ferrari,Bahrain,2020,HARD-MEDIUM-HARD-HARD
430,KVY,RB,Bahrain,2020,MEDIUM-SOFT-HARD-HARD
431,RUS,Williams,Bahrain,2020,MEDIUM-MEDIUM-HARD-MEDIUM
432,VET,Ferrari,Bahrain,2020,MEDIUM-HARD-MEDIUM-HARD
433,LAT,Williams,Bahrain,2020,HARD-MEDIUM-MEDIUM-HARD
434,RAI,Kick Sauber,Bahrain,2020,MEDIUM-MEDIUM-HARD-MEDIUM
435,GIO,Kick Sauber,Bahrain,2020,MEDIUM-MEDIUM-HARD-SOFT
436,MAG,Haas F1 Team,Bahrain,2020,MEDIUM-HARD-HARD-HARD-SOFT
437,PER,Aston Martin,Bahrain,2020,MEDIUM-MEDIUM-HARD-HARD
438,STR,Aston Martin,Bahrain,2020,MEDIUM-MEDIUM
439,GRO,Haas F1 Team,Bahrain,2020,HARD
440,HAM,Mercedes,Spain,2020,SOFT-MEDIUM-MEDIUM
441,VER,Red Bull Racing,Spain,2020,SOFT-MEDIUM-MEDIUM
442,BOT,Mercedes,Spain,2020,SOFT-MEDIUM-SOFT-MEDIUM
443,STR,Aston Martin,Spain,2020,SOFT-MEDIUM-SOFT
444,PER,Aston Martin,Spain,2020,SOFT-MEDIUM
445,SAI,McLaren,Spain,2020,SOFT-SOFT-MEDIUM
446,VET,Ferrari,Spain,2020,MEDIUM-SOFT
447,ALB,Red Bull Racing,Spain,2020,SOFT-HARD-MEDIUM
448,GAS,RB,Spain,2020,SOFT-MEDIUM-MEDIUM
449,NOR,McLaren,Spain,2020,SOFT-SOFT-MEDIUM
450,RIC,Alpine,Spain,2020,MEDIUM-SOFT
451,KVY,RB,Spain,2020,SOFT-MEDIUM-MEDIUM
452,OCO,Alpine,Spain,2020,MEDIUM-SOFT
453,RAI,Kick Sauber,Spain,2020,MEDIUM-MEDIUM-SOFT
454,MAG,Haas F1 Team,Spain,2020,SOFT-MEDIUM
455,GIO,Kick Sauber,Spain,2020,MEDIUM-MEDIUM-SOFT
456,RUS,Williams,Spain,2020,SOFT-MEDIUM-MEDIUM
457,LAT,Williams,Spain,2020,MEDIUM-MEDIUM-SOFT
458,GRO,Haas F1 Team,Spain,2020,MEDIUM-SOFT-SOFT
459,LEC,Ferrari,Spain,2020,SOFT-MEDIUM
460,BOT,Mercedes,Austria,2020,SOFT-HARD-HARD
461,LEC,Ferrari,Austria,2020,SOFT-HARD-MEDIUM-MEDIUM
462,NOR,McLaren,Austria,2020,SOFT-HARD-MEDIUM-MEDIUM
463,HAM,Mercedes,Austria,2020,SOFT-HARD-HARD
464,SAI,McLaren,Austria,2020,SOFT-HARD-MEDIUM-MEDIUM
465,PER,Aston Martin,Austria,2020,SOFT-MEDIUM-MEDIUM
466,GAS,RB,Austria,2020,MEDIUM-HARD-HARD
467,OCO,Alpine,Austria,2020,MEDIUM-HARD-HARD
468,GIO,Kick Sauber,Austria,2020,MEDIUM-HARD-SOFT-SOFT
469,VET,Ferrari,Austria,2020,MEDIUM-HARD-SOFT-SOFT
470,LAT,Williams,Austria,2020,MEDIUM-MEDIUM-HARD-SOFT
471,KVY,RB,Austria,2020,MEDIUM-HARD-SOFT-SOFT
472,ALB,Red Bull Racing,Austria,2020,SOFT-HARD-SOFT-SOFT
473,RAI,Kick Sauber,Austria,2020,MEDIUM-HARD-SOFT
474,RUS,Williams,Austria,2020,MEDIUM-HARD
475,GRO,Haas F1 Team,Austria,2020,MEDIUM-MEDIUM
476,MAG,Haas F1 Team,Austria,2020,MEDIUM
477,STR,Aston Martin,Austria,2020,SOFT
478,RIC,Alpine,Austria,2020,SOFT
479,VER,Red Bull Racing,Austria,2020,MEDIUM
480,HAM,Mercedes,Great Britain,2020,MEDIUM-HARD
481,VER,Red Bull Racing,Great Britain,2020,MEDIUM-HARD-SOFT
482,LEC,Ferrari,Great Britain,2020,MEDIUM-HARD
483,RIC,Alpine,Great Britain,2020,SOFT-HARD
484,NOR,McLaren,Great Britain,2020,SOFT-HARD
485,OCO,Alpine,Great Britain,2020,SOFT-HARD
486,GAS,RB,Great Britain,2020,MEDIUM-HARD
487,ALB,Red Bull Racing,Great Britain,2020,MEDIUM-HARD-MEDIUM
488,STR,Aston Martin,Great Britain,2020,MEDIUM-HARD
489,VET,Ferrari,Great Britain,2020,SOFT-HARD
490,BOT,Mercedes,Great Britain,2020,MEDIUM-HARD-SOFT
491,RUS,Williams,Great Britain,2020,MEDIUM-HARD
492,SAI,McLaren,Great Britain,2020,SOFT-HARD-MEDIUM
493,GIO,Kick Sauber,Great Britain,2020,MEDIUM-HARD
494,LAT,Williams,Great Britain,2020,MEDIUM-HARD
495,GRO,Haas F1 Team,Great Britain,2020,MEDIUM-HARD
496,RAI,Kick Sauber,Great Britain,2020,MEDIUM-HARD-SOFT
497,KVY,RB,Great Britain,2020,MEDIUM
498,MAG,Haas F1 Team,Great Britain,2020,MEDIUM
499,HUL,Aston Martin,Great Britain,2020,HARD
500,HAM,Mercedes,Hungary,2020,INTERMEDIATE-MEDIUM-MEDIUM-SOFT
501,VER,Red Bull Racing,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
502,BOT,Mercedes,Hungary,2020,INTERMEDIATE-MEDIUM-MEDIUM-HARD
503,STR,Aston Martin,Hungary,2020,INTERMEDIATE-MEDIUM-MEDIUM-HARD
504,ALB,Red Bull Racing,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
505,VET,Ferrari,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
506,PER,Aston Martin,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
507,RIC,Alpine,Hungary,2020,INTERMEDIATE-MEDIUM-MEDIUM
508,SAI,McLaren,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
509,MAG,Haas F1 Team,Hungary,2020,MEDIUM-HARD
510,LEC,Ferrari,Hungary,2020,INTERMEDIATE-SOFT-HARD
511,KVY,RB,Hungary,2020,INTERMEDIATE-SOFT-HARD
512,NOR,McLaren,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
513,nan,nan,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
514,RAI,Kick Sauber,Hungary,2020,INTERMEDIATE-MEDIUM-HARD
515,GRO,Haas F1 Team,Hungary,2020,MEDIUM-HARD
516,GIO,Kick Sauber,Hungary,2020,INTERMEDIATE-SOFT-MEDIUM-HARD
517,RUS,Williams,Hungary,2020,INTERMEDIATE-SOFT-MEDIUM-MEDIUM
518,LAT,Williams,Hungary,2020,INTERMEDIATE-SOFT-MEDIUM-MEDIUM-SOFT-HARD
519,GAS,RB,Hungary,2020,INTERMEDIATE-SOFT
520,HAM,Mercedes,Belgium,2020,MEDIUM-HARD
521,BOT,Mercedes,Belgium,2020,MEDIUM-HARD
522,VER,Red Bull Racing,Belgium,2020,MEDIUM-HARD
523,RIC,Alpine,Belgium,2020,SOFT-HARD
524,OCO,Alpine,Belgium,2020,SOFT-HARD
525,ALB,Red Bull Racing,Belgium,2020,SOFT-MEDIUM
526,NOR,McLaren,Belgium,2020,SOFT-HARD
527,GAS,RB,Belgium,2020,HARD-MEDIUM
528,STR,Aston Martin,Belgium,2020,SOFT-HARD
529,PER,Aston Martin,Belgium,2020,SOFT-HARD
530,KVY,RB,Belgium,2020,MEDIUM-HARD
531,RAI,Kick Sauber,Belgium,2020,MEDIUM-HARD
532,VET,Ferrari,Belgium,2020,MEDIUM-HARD
533,LEC,Ferrari,Belgium,2020,SOFT-HARD-MEDIUM
534,GRO,Haas F1 Team,Belgium,2020,MEDIUM-HARD
535,LAT,Williams,Belgium,2020,MEDIUM-HARD-MEDIUM
536,MAG,Haas F1 Team,Belgium,2020,MEDIUM-HARD-SOFT
537,GIO,Kick Sauber,Belgium,2020,MEDIUM
538,RUS,Williams,Belgium,2020,MEDIUM
539,SAI,McLaren,Belgium,2020,SOFT
540,VER,Red Bull Racing,Abu Dhabi,2020,MEDIUM-HARD
541,BOT,Mercedes,Abu Dhabi,2020,MEDIUM-HARD
542,HAM,Mercedes,Abu Dhabi,2020,MEDIUM-HARD
543,ALB,Red Bull Racing,Abu Dhabi,2020,SOFT-HARD
544,NOR,McLaren,Abu Dhabi,2020,SOFT-HARD
545,SAI,McLaren,Abu Dhabi,2020,MEDIUM-HARD
546,RIC,Alpine,Abu Dhabi,2020,HARD-MEDIUM
547,GAS,RB,Abu Dhabi,2020,SOFT-HARD
548,OCO,Alpine,Abu Dhabi,2020,MEDIUM-HARD
549,STR,Aston Martin,Abu Dhabi,2020,SOFT-HARD
550,KVY,RB,Abu Dhabi,2020,SOFT-HARD
551,RAI,Kick Sauber,Abu Dhabi,2020,MEDIUM-HARD
552,LEC,Ferrari,Abu Dhabi,2020,MEDIUM-HARD
553,VET,Ferrari,Abu Dhabi,2020,HARD-MEDIUM
554,RUS,Williams,Abu Dhabi,2020,MEDIUM-HARD
555,GIO,Kick Sauber,Abu Dhabi,2020,MEDIUM-HARD
556,LAT,Williams,Abu Dhabi,2020,MEDIUM-HARD-MEDIUM
557,MAG,Haas F1 Team,Abu Dhabi,2020,HARD-MEDIUM-MEDIUM
558,FIT,Haas F1 Team,Abu Dhabi,2020,MEDIUM-HARD-MEDIUM-SOFT
559,PER,Aston Martin,Abu Dhabi,2020,HARD
560,GAS,RB,Monza,2020,SOFT-HARD-MEDIUM
561,SAI,McLaren,Monza,2020,SOFT-MEDIUM-MEDIUM
562,STR,Aston Martin,Monza,2020,SOFT-MEDIUM
563,NOR,McLaren,Monza,2020,SOFT-MEDIUM-MEDIUM
564,BOT,Mercedes,Monza,2020,SOFT-MEDIUM-MEDIUM
565,RIC,Alpine,Monza,2020,SOFT-MEDIUM-MEDIUM
566,HAM,Mercedes,Monza,2020,SOFT-MEDIUM-HARD-HARD
567,OCO,Alpine,Monza,2020,SOFT-MEDIUM-SOFT
568,KVY,RB,Monza,2020,HARD-MEDIUM-MEDIUM
569,PER,Aston Martin,Monza,2020,SOFT-MEDIUM-MEDIUM
570,LAT,Williams,Monza,2020,MEDIUM-HARD-MEDIUM
571,GRO,Haas F1 Team,Monza,2020,MEDIUM-HARD-HARD
572,RAI,Kick Sauber,Monza,2020,MEDIUM-HARD-SOFT
573,RUS,Williams,Monza,2020,MEDIUM-HARD-MEDIUM
574,ALB,Red Bull Racing,Monza,2020,SOFT-MEDIUM-HARD
575,GIO,Kick Sauber,Monza,2020,MEDIUM-HARD-SOFT-SOFT
576,VER,Red Bull Racing,Monza,2020,SOFT-MEDIUM-MEDIUM
577,LEC,Ferrari,Monza,2020,SOFT-HARD-HARD
578,MAG,Haas F1 Team,Monza,2020,MEDIUM-HARD
579,VET,Ferrari,Monza,2020,HARD
580,HAM,Mercedes,Turkey,2020,WET-INTERMEDIATE
581,PER,Aston Martin,Turkey,2020,WET-INTERMEDIATE
582,VET,Ferrari,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
583,LEC,Ferrari,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
584,SAI,McLaren,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
585,VER,Red Bull Racing,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE-INTERMEDIATE
586,ALB,Red Bull Racing,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
587,NOR,McLaren,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
588,STR,Aston Martin,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
589,RIC,Alpine,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
590,OCO,Alpine,Turkey,2020,WET-WET-INTERMEDIATE
591,KVY,RB,Turkey,2020,WET-INTERMEDIATE
592,GAS,RB,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
593,BOT,Mercedes,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
594,RAI,Kick Sauber,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE-INTERMEDIATE
595,RUS,Williams,Turkey,2020,INTERMEDIATE-INTERMEDIATE-INTERMEDIATE
596,MAG,Haas F1 Team,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
597,GRO,Haas F1 Team,Turkey,2020,WET-INTERMEDIATE-INTERMEDIATE
598,LAT,Williams,Turkey,2020,INTERMEDIATE-INTERMEDIATE-INTERMEDIATE
599,GIO,Kick Sauber,Turkey,2020,WET-INTERMEDIATE
600,HAM,Mercedes,Portugal,2020,MEDIUM-HARD
601,BOT,Mercedes,Portugal,2020,MEDIUM-HARD
602,VER,Red Bull Racing,Portugal,2020,SOFT-MEDIUM
603,LEC,Ferrari,Portugal,2020,MEDIUM-HARD
604,GAS,RB,Portugal,2020,SOFT-MEDIUM
605,SAI,McLaren,Portugal,2020,SOFT-MEDIUM
606,PER,Aston Martin,Portugal,2020,SOFT-MEDIUM-SOFT
607,OCO,Alpine,Portugal,2020,MEDIUM-SOFT
608,RIC,Alpine,Portugal,2020,SOFT-MEDIUM
609,VET,Ferrari,Portugal,2020,MEDIUM-HARD
610,RAI,Kick Sauber,Portugal,2020,SOFT-MEDIUM
611,ALB,Red Bull Racing,Portugal,2020,SOFT-MEDIUM-SOFT
612,NOR,McLaren,Portugal,2020,SOFT-HARD-MEDIUM
613,RUS,Williams,Portugal,2020,MEDIUM-HARD
614,GIO,Kick Sauber,Portugal,2020,MEDIUM-HARD
615,MAG,Haas F1 Team,Portugal,2020,HARD-MEDIUM
616,GRO,Haas F1 Team,Portugal,2020,MEDIUM-HARD
617,LAT,Williams,Portugal,2020,MEDIUM-HARD
618,KVY,RB,Portugal,2020,MEDIUM-HARD-SOFT
619,STR,Aston Martin,Portugal,2020,MEDIUM-HARD-SOFT
620,BOT,Mercedes,Russia,2020,MEDIUM-HARD
621,VER,Red Bull Racing,Russia,2020,MEDIUM-HARD
622,HAM,Mercedes,Russia,2020,SOFT-HARD
623,PER,Aston Martin,Russia,2020,SOFT-HARD
624,RIC,Alpine,Russia,2020,SOFT-HARD
625,LEC,Ferrari,Russia,2020,MEDIUM-HARD
626,OCO,Alpine,Russia,2020,SOFT-HARD
627,KVY,RB,Russia,2020,HARD-MEDIUM
628,GAS,RB,Russia,2020,SOFT-HARD-MEDIUM
629,ALB,Red Bull Racing,Russia,2020,SOFT-HARD-MEDIUM
630,GIO,Kick Sauber,Russia,2020,MEDIUM-HARD
631,MAG,Haas F1 Team,Russia,2020,MEDIUM-HARD
632,VET,Ferrari,Russia,2020,MEDIUM-HARD
633,RAI,Kick Sauber,Russia,2020,HARD-MEDIUM
634,NOR,McLaren,Russia,2020,SOFT-HARD-MEDIUM
635,LAT,Williams,Russia,2020,MEDIUM-HARD
636,GRO,Haas F1 Team,Russia,2020,MEDIUM-HARD-MEDIUM
637,RUS,Williams,Russia,2020,MEDIUM-HARD-MEDIUM-SOFT
638,SAI,McLaren,Russia,2020,SOFT
639,STR,Aston Martin,Russia,2020,MEDIUM
640,HAM,Mercedes,Imola,2020,MEDIUM-HARD-SOFT
641,BOT,Mercedes,Imola,2020,MEDIUM-HARD-SOFT
642,RIC,Alpine,Imola,2020,SOFT-HARD
643,KVY,RB,Imola,2020,SOFT-HARD-SOFT
644,LEC,Ferrari,Imola,2020,SOFT-HARD
645,PER,Aston Martin,Imola,2020,MEDIUM-HARD-SOFT
646,SAI,McLaren,Imola,2020,SOFT-MEDIUM-SOFT
647,NOR,McLaren,Imola,2020,SOFT-MEDIUM-SOFT
648,RAI,Kick Sauber,Imola,2020,MEDIUM-SOFT
649,GIO,Kick Sauber,Imola,2020,SOFT-MEDIUM
650,LAT,Williams,Imola,2020,MEDIUM-HARD
651,VET,Ferrari,Imola,2020,MEDIUM-HARD-SOFT
652,STR,Aston Martin,Imola,2020,MEDIUM-HARD-MEDIUM-SOFT
653,GRO,Haas F1 Team,Imola,2020,MEDIUM-HARD-SOFT
654,ALB,Red Bull Racing,Imola,2020,SOFT-HARD-SOFT
655,RUS,Williams,Imola,2020,MEDIUM-HARD
656,VER,Red Bull Racing,Imola,2020,MEDIUM-HARD
657,MAG,Haas F1 Team,Imola,2020,MEDIUM-HARD
658,OCO,Alpine,Imola,2020,MEDIUM-HARD
659,GAS,RB,Imola,2020,SOFT
660,HAM,Mercedes,Eifel,2020,SOFT-MEDIUM-SOFT
661,VER,Red Bull Racing,Eifel,2020,SOFT-MEDIUM-SOFT
662,RIC,Alpine,Eifel,2020,SOFT-MEDIUM-SOFT
663,PER,Aston Martin,Eifel,2020,SOFT-MEDIUM-SOFT
664,SAI,McLaren,Eifel,2020,SOFT-MEDIUM-SOFT
665,GAS,RB,Eifel,2020,MEDIUM-HARD-SOFT
666,LEC,Ferrari,Eifel,2020,SOFT-MEDIUM-MEDIUM
667,HUL,Aston Martin,Eifel,2020,SOFT-MEDIUM-SOFT
668,GRO,Haas F1 Team,Eifel,2020,MEDIUM-HARD
669,GIO,Kick Sauber,Eifel,2020,SOFT-MEDIUM-MEDIUM
670,VET,Ferrari,Eifel,2020,MEDIUM-HARD-SOFT
671,RAI,Kick Sauber,Eifel,2020,SOFT-MEDIUM-SOFT
672,MAG,Haas F1 Team,Eifel,2020,SOFT-MEDIUM-MEDIUM
673,LAT,Williams,Eifel,2020,SOFT-MEDIUM-MEDIUM
674,KVY,RB,Eifel,2020,MEDIUM-HARD-SOFT
675,NOR,McLaren,Eifel,2020,SOFT-MEDIUM
676,ALB,Red Bull Racing,Eifel,2020,SOFT-MEDIUM
677,OCO,Alpine,Eifel,2020,SOFT
678,BOT,Mercedes,Eifel,2020,SOFT-MEDIUM
679,RUS,Williams,Eifel,2020,SOFT-MEDIUM
680,HAM,Mercedes,Mugello,2020,SOFT-SOFT-MEDIUM-HARD-MEDIUM-SOFT
681,BOT,Mercedes,Mugello,2020,SOFT-SOFT-MEDIUM-HARD-MEDIUM-SOFT
682,ALB,Red Bull Racing,Mugello,2020,SOFT-SOFT-SOFT-MEDIUM-SOFT-SOFT
683,RIC,Alpine,Mugello,2020,SOFT-SOFT-SOFT-MEDIUM-SOFT-SOFT
684,PER,Aston Martin,Mugello,2020,SOFT-SOFT-SOFT-MEDIUM-SOFT-SOFT
685,NOR,McLaren,Mugello,2020,SOFT-SOFT-SOFT-MEDIUM-SOFT-SOFT
686,KVY,RB,Mugello,2020,MEDIUM-MEDIUM-SOFT-MEDIUM-SOFT-SOFT
687,LEC,Ferrari,Mugello,2020,SOFT-SOFT-SOFT-HARD-MEDIUM-SOFT
688,RAI,Kick Sauber,Mugello,2020,MEDIUM-MEDIUM-MEDIUM-MEDIUM-HARD-SOFT-SOFT
689,VET,Ferrari,Mugello,2020,SOFT-MEDIUM-MEDIUM-SOFT-HARD-SOFT-SOFT
690,RUS,Williams,Mugello,2020,MEDIUM-MEDIUM-MEDIUM-HARD-SOFT-SOFT
691,GRO,Haas F1 Team,Mugello,2020,MEDIUM-HARD-SOFT-HARD-SOFT-SOFT
692,STR,Aston Martin,Mugello,2020,SOFT-SOFT-SOFT-MEDIUM
693,OCO,Alpine,Mugello,2020,SOFT-SOFT
694,LAT,Williams,Mugello,2020,MEDIUM
695,MAG,Haas F1 Team,Mugello,2020,SOFT
696,GIO,Kick Sauber,Mugello,2020,SOFT
697,SAI,McLaren,Mugello,2020,SOFT
698,VER,Red Bull Racing,Mugello,2020,SOFT
699,GAS,RB,Mugello,2020,SOFT
700,HAM,Mercedes,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
701,VER,Red Bull Racing,Sakhir,2020,MEDIUM-MEDIUM-HARD-HARD-MEDIUM
702,ALB,Red Bull Racing,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
703,NOR,McLaren,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
704,SAI,McLaren,Sakhir,2020,SOFT-SOFT-MEDIUM-HARD
705,GAS,RB,Sakhir,2020,MEDIUM-HARD-HARD
706,RIC,Alpine,Sakhir,2020,MEDIUM-MEDIUM-HARD-HARD
707,BOT,Mercedes,Sakhir,2020,MEDIUM-MEDIUM-HARD-MEDIUM-MEDIUM
708,OCO,Alpine,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
709,LEC,Ferrari,Sakhir,2020,HARD-MEDIUM-HARD-HARD
710,KVY,RB,Sakhir,2020,MEDIUM-SOFT-HARD-HARD
711,RUS,Williams,Sakhir,2020,MEDIUM-MEDIUM-HARD-MEDIUM
712,VET,Ferrari,Sakhir,2020,MEDIUM-HARD-MEDIUM-HARD
713,LAT,Williams,Sakhir,2020,HARD-MEDIUM-MEDIUM-HARD
714,RAI,Kick Sauber,Sakhir,2020,MEDIUM-MEDIUM-HARD-MEDIUM
715,GIO,Kick Sauber,Sakhir,2020,MEDIUM-MEDIUM-HARD-SOFT
716,MAG,Haas F1 Team,Sakhir,2020,MEDIUM-HARD-HARD-HARD-SOFT
717,PER,Aston Martin,Sakhir,2020,MEDIUM-MEDIUM-HARD-HARD
718,STR,Aston Martin,Sakhir,2020,MEDIUM-MEDIUM
719,GRO,Haas F1 Team,Sakhir,2020,HARD
720,VER,Red Bull Racing,70th,2020,HARD-MEDIUM-HARD
721,HAM,Mercedes,70th,2020,MEDIUM-HARD-HARD
722,BOT,Mercedes,70th,2020,MEDIUM-HARD-HARD
723,LEC,Ferrari,70th,2020,MEDIUM-HARD
724,ALB,Red Bull Racing,70th,2020,MEDIUM-HARD-HARD
725,STR,Aston Martin,70th,2020,MEDIUM-HARD-HARD
726,HUL,Aston Martin,70th,2020,MEDIUM-HARD-HARD-SOFT
727,OCO,Alpine,70th,2020,MEDIUM-HARD
728,NOR,McLaren,70th,2020,MEDIUM-HARD-HARD
729,KVY,RB,70th,2020,HARD-HARD-MEDIUM
730,GAS,RB,70th,2020,MEDIUM-HARD-HARD
731,VET,Ferrari,70th,2020,HARD-HARD-MEDIUM
732,SAI,McLaren,70th,2020,HARD-MEDIUM-HARD
733,RIC,Alpine,70th,2020,MEDIUM-MEDIUM-HARD-MEDIUM
734,RAI,Kick Sauber,70th,2020,HARD-MEDIUM
735,GRO,Haas F1 Team,70th,2020,MEDIUM-HARD-HARD
736,GIO,Kick Sauber,70th,2020,MEDIUM-HARD-MEDIUM
737,RUS,Williams,70th,2020,MEDIUM-HARD-HARD-MEDIUM
738,LAT,Williams,70th,2020,MEDIUM-HARD-HARD-MEDIUM
739,MAG,Haas F1 Team,70th,2020,MEDIUM-HARD-HARD
740,HAM,Mercedes,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
741,VER,Red Bull Racing,Sakhir,2020,MEDIUM-MEDIUM-HARD-HARD-MEDIUM
742,ALB,Red Bull Racing,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
743,NOR,McLaren,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
744,SAI,McLaren,Sakhir,2020,SOFT-SOFT-MEDIUM-HARD
745,GAS,RB,Sakhir,2020,MEDIUM-HARD-HARD
746,RIC,Alpine,Sakhir,2020,MEDIUM-MEDIUM-HARD-HARD
747,BOT,Mercedes,Sakhir,2020,MEDIUM-MEDIUM-HARD-MEDIUM-MEDIUM
748,OCO,Alpine,Sakhir,2020,MEDIUM-MEDIUM-MEDIUM-HARD
749,LEC,Ferrari,Sakhir,2020,HARD-MEDIUM-HARD-HARD
750,KVY,RB,Sakhir,2020,MEDIUM-SOFT-HARD-HARD
751,RUS,Williams,Sakhir,2020,MEDIUM-MEDIUM-HARD-MEDIUM
752,VET,Ferrari,Sakhir,2020,MEDIUM-HARD-MEDIUM-HARD
753,LAT,Williams,Sakhir,2020,HARD-MEDIUM-MEDIUM-HARD
754,RAI,Kick Sauber,Sakhir,2020,MEDIUM-MEDIUM-HARD-MEDIUM
755,GIO,Kick Sauber,Sakhir,2020,MEDIUM-MEDIUM-HARD-SOFT
756,MAG,Haas F1 Team,Sakhir,2020,MEDIUM-HARD-HARD-HARD-SOFT
757,PER,Aston Martin,Sakhir,2020,MEDIUM-MEDIUM-HARD-HARD
758,STR,Aston Martin,Sakhir,2020,MEDIUM-MEDIUM
759,GRO,Haas F1 Team,Sakhir,2020,HARD
760,HAM,Mercedes,Bahrain,2021,MEDIUM-HARD-HARD
761,VER,Red Bull Racing,Bahrain,2021,MEDIUM-MEDIUM-HARD
762,BOT,Mercedes,Bahrain,2021,MEDIUM-HARD-HARD-MEDIUM
763,NOR,McLaren,Bahrain,2021,SOFT-MEDIUM-HARD
764,PER,Red Bull Racing,Bahrain,2021,MEDIUM-HARD-HARD-MEDIUM
765,LEC,Ferrari,Bahrain,2021,SOFT-MEDIUM-HARD
766,RIC,McLaren,Bahrain,2021,SOFT-MEDIUM-HARD
767,SAI,Ferrari,Bahrain,2021,SOFT-MEDIUM-HARD
768,TSU,RB,Bahrain,2021,MEDIUM-HARD-HARD
769,STR,Aston Martin,Bahrain,2021,SOFT-MEDIUM-HARD
770,RAI,Kick Sauber,Bahrain,2021,MEDIUM-HARD-MEDIUM
771,GIO,Kick Sauber,Bahrain,2021,MEDIUM-HARD-MEDIUM
772,OCO,Alpine,Bahrain,2021,SOFT-MEDIUM-HARD
773,RUS,Williams,Bahrain,2021,SOFT-MEDIUM-MEDIUM
774,VET,Aston Martin,Bahrain,2021,MEDIUM-HARD
775,MSC,Haas F1 Team,Bahrain,2021,MEDIUM-MEDIUM-HARD
776,GAS,RB,Bahrain,2021,MEDIUM-HARD-MEDIUM-HARD
777,LAT,Williams,Bahrain,2021,SOFT-MEDIUM-MEDIUM
778,ALO,Alpine,Bahrain,2021,SOFT-MEDIUM-HARD
779,MAZ,Haas F1 Team,Bahrain,2021,MEDIUM
780,VER,Red Bull Racing,Monaco,2021,SOFT-HARD
781,SAI,Ferrari,Monaco,2021,SOFT-HARD
782,NOR,McLaren,Monaco,2021,SOFT-HARD
783,PER,Red Bull Racing,Monaco,2021,SOFT-HARD
784,VET,Aston Martin,Monaco,2021,SOFT-HARD
785,GAS,RB,Monaco,2021,SOFT-HARD
786,HAM,Mercedes,Monaco,2021,SOFT-HARD-SOFT
