Driver,Gap
LEC,0.0
VER,0.014
RUS,0.32
SAI,0.342
PER,0.372
ALO,0.377
NOR,0.449
PIA,0.518
HAM,0.545
HUL,0.686
STR,0.8
TSU,0.964
ALB,1.056
RIC,1.113
MAG,1.364
BOT,1.591
ZHO,1.592
SAR,1.605
OCO,1.628
GAS,1.783
