Driver,Team,Gap
VER,Red Bull Racing,0.0
PER,Red Bull Racing,0.322
ALO,Aston Martin,0.488
NOR,McLaren,0.505
PIA,McLaren,0.613
LEC,Ferrari,0.629
SAI,Ferrari,0.637
RUS,Mercedes,0.773
HUL,Haas F1 Team,0.944
BOT,Kick Sauber,1.005
STR,Aston Martin,1.178
RIC,RB,1.274
OCO,Alpine,1.563
ALB,Williams,1.581
GAS,Alpine,1.627
ZHO,Kick Sauber,1.845
MAG,Haas F1 Team,1.856
HAM,Mercedes,1.913
TSU,RB,2.086
SAR,Williams,2.698
