Driver,Position
ALB,14.541666666666666
ALO,10.166666666666666
BEA,9.666666666666666
BOT,15.833333333333334
COL,13.555555555555555
DOO,15.0
GAS,12.875
HAM,6.958333333333333
HUL,11.625
LAW,13.5
LEC,4.541666666666667
MAG,13.363636363636363
NOR,4.291666666666667
OCO,13.695652173913043
PER,9.625
PIA,5.125
RIC,13.38888888888889
RUS,6.75
SAI,5.695652173913044
SAR,17.142857142857142
STR,13.375
TSU,13.166666666666666
VER,3.625
ZHO,15.5
