,Team,Compound,LapsCount
0,Alpine,HARD,66
1,Alpine,MEDIUM,45
2,Aston Martin,HARD,40
3,Aston Martin,MEDIUM,87
4,Ferrari,HARD,21
5,Ferrari,MEDIUM,108
6,Ferrari,SOFT,9
7,Haas F1 Team,MEDIUM,124
8,Kick Sauber,HARD,29
9,Kick Sauber,MEDIUM,106
10,McLaren,MEDIUM,87
11,Mercedes,HARD,16
12,Mercedes,MEDIUM,107
13,RB,MEDIUM,113
14,RB,SOFT,15
15,Red Bull Racing,HARD,38
16,Red Bull Racing,MEDIUM,91
17,Williams,HARD,22
18,Williams,MEDIUM,86
19,Williams,SOFT,9
