index,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
224,0 days 01:54:20.290000,LEC,16,0 days 00:01:38.595000,14.0,2.0,,,0 days 00:00:35.883000,0 days 00:00:43.792000,0 days 00:00:18.920000,0 days 01:53:19.827000,0 days 01:54:03.619000,0 days 01:54:22.539000,272.0,291.0,251.0,293.0,False,MEDIUM,13.0,True,Ferrari,0 days 01:52:41.695000,2024-04-07 05:53:43.329,1,4.0,False,,False,True
225,0 days 01:55:58.462000,LEC,16,0 days 00:01:38.172000,15.0,2.0,,,0 days 00:00:35.721000,0 days 00:00:43.614000,0 days 00:00:18.837000,0 days 01:54:58.260000,0 days 01:55:41.874000,0 days 01:56:00.711000,273.0,294.0,252.0,294.0,False,MEDIUM,14.0,True,Ferrari,0 days 01:54:20.290000,2024-04-07 05:55:21.924,1,4.0,False,,False,True
226,0 days 01:57:36.338000,LEC,16,0 days 00:01:37.876000,16.0,2.0,,,0 days 00:00:35.533000,0 days 00:00:43.482000,0 days 00:00:18.861000,0 days 01:56:36.244000,0 days 01:57:19.726000,0 days 01:57:38.587000,275.0,292.0,252.0,293.0,False,MEDIUM,15.0,True,Ferrari,0 days 01:55:58.462000,2024-04-07 05:57:00.096,1,2.0,False,,False,True
227,0 days 01:59:14.194000,LEC,16,0 days 00:01:37.856000,17.0,2.0,,,0 days 00:00:35.435000,0 days 00:00:43.554000,0 days 00:00:18.867000,0 days 01:58:14.022000,0 days 01:58:57.576000,0 days 01:59:16.443000,274.0,292.0,253.0,295.0,False,MEDIUM,16.0,True,Ferrari,0 days 01:57:36.338000,2024-04-07 05:58:37.972,1,1.0,False,,False,True
228,0 days 02:00:51.954000,LEC,16,0 days 00:01:37.760000,18.0,2.0,,,0 days 00:00:35.551000,0 days 00:00:43.501000,0 days 00:00:18.708000,0 days 01:59:51.994000,0 days 02:00:35.495000,0 days 02:00:54.203000,,292.0,252.0,295.0,True,MEDIUM,17.0,True,Ferrari,0 days 01:59:14.194000,2024-04-07 06:00:15.828,1,1.0,False,,False,True
229,0 days 02:02:29.477000,LEC,16,0 days 00:01:37.523000,19.0,2.0,,,0 days 00:00:35.393000,0 days 00:00:43.470000,0 days 00:00:18.660000,0 days 02:01:29.596000,0 days 02:02:13.066000,0 days 02:02:31.726000,275.0,293.0,253.0,295.0,True,MEDIUM,18.0,True,Ferrari,0 days 02:00:51.954000,2024-04-07 06:01:53.588,1,1.0,False,,False,True
230,0 days 02:04:06.957000,LEC,16,0 days 00:01:37.480000,20.0,2.0,,,0 days 00:00:35.344000,0 days 00:00:43.542000,0 days 00:00:18.594000,0 days 02:03:07.070000,0 days 02:03:50.612000,0 days 02:04:09.206000,274.0,293.0,254.0,294.0,True,MEDIUM,19.0,True,Ferrari,0 days 02:02:29.477000,2024-04-07 06:03:31.111,1,1.0,False,,False,True
231,0 days 02:05:45.160000,LEC,16,0 days 00:01:38.203000,21.0,2.0,,,0 days 00:00:35.888000,0 days 00:00:43.624000,0 days 00:00:18.691000,0 days 02:04:45.094000,0 days 02:05:28.718000,0 days 02:05:47.409000,275.0,295.0,254.0,298.0,False,MEDIUM,20.0,True,Ferrari,0 days 02:04:06.957000,2024-04-07 06:05:08.591,1,1.0,False,,False,True
232,0 days 02:07:22.904000,LEC,16,0 days 00:01:37.744000,22.0,2.0,,,0 days 00:00:35.399000,0 days 00:00:43.593000,0 days 00:00:18.752000,0 days 02:06:22.808000,0 days 02:07:06.401000,0 days 02:07:25.153000,,295.0,253.0,295.0,False,MEDIUM,21.0,True,Ferrari,0 days 02:05:45.160000,2024-04-07 06:06:46.794,1,2.0,False,,False,True
233,0 days 02:09:00.659000,LEC,16,0 days 00:01:37.755000,23.0,2.0,,,0 days 00:00:35.460000,0 days 00:00:43.550000,0 days 00:00:18.745000,0 days 02:08:00.613000,0 days 02:08:44.163000,0 days 02:09:02.908000,274.0,295.0,252.0,296.0,False,MEDIUM,22.0,True,Ferrari,0 days 02:07:22.904000,2024-04-07 06:08:24.538,1,2.0,False,,False,True
