Driver,GapSector1,GapSector2,GapSector3
STR,0.1490000000000009,0.4269999999999996,0.6430000000000007
PIA,0.08599999999999852,0.09500000000000242,0.41499999999999915
VER,0.054999999999999716,0.0,0.0
PER,0.0,0.12199999999999989,0.1489999999999938
HUL,0.038000000000000256,0.40300000000000225,0.41499999999999915
MAG,0.2940000000000005,0.7250000000000014,0.9079999999999941
OCO,0.19000000000000128,0.5229999999999997,0.7919999999999945
ALB,0.20700000000000074,0.4969999999999999,0.6049999999999969
RIC,0.20400000000000063,0.45500000000000185,0.5539999999999949
BOT,0.13100000000000023,0.28999999999999915,0.4679999999999964
ZHO,0.5060000000000002,0.597999999999999,0.8119999999999976
TSU,0.33399999999999963,0.6960000000000015,1.0279999999999987
LEC,0.23699999999999832,0.0730000000000004,0.23199999999999932
SAI,0.13400000000000034,0.1930000000000014,0.2289999999999992
SAR,0.41799999999999926,0.8979999999999997,1.198999999999998
NOR,0.07400000000000162,0.1769999999999996,0.232999999999997
RUS,0.26099999999999923,0.2469999999999999,0.2739999999999938
HAM,0.3359999999999985,0.4710000000000001,1.1769999999999996
ALO,0.015000000000000568,0.14000000000000057,0.27199999999999847
GAS,0.25700000000000145,0.5960000000000001,0.7929999999999993
