Team,Gap
Mercedes,0.0
McLaren,0.309
Red Bull Racing,0.382
Haas F1 Team,0.41
Ferrari,0.717
Aston Martin,0.628
Williams,0.794
RB,1.494
Kick Sauber,2.04
Alpine,7.981
