Driver,Team,Gap
RUS,Mercedes,0.0
HAM,Mercedes,0.171
NOR,McLaren,0.211
VER,Red Bull Racing,0.384
PIA,McLaren,0.418
HUL,Haas F1 Team,0.519
SAI,Ferrari,0.69
STR,Aston Martin,0.766
ALB,Williams,0.821
ALO,Aston Martin,0.911
LEC,Ferrari,1.278
SAR,Williams,1.356
TSU,RB,1.45
ZHO,Kick Sauber,2.048
RIC,RB,2.13
BOT,Kick Sauber,6.612
MAG,Haas F1 Team,7.086
OCO,Alpine,8.738
PER,Red Bull Racing,12.529
GAS,Alpine,13.985
