Team,Gap
Alpine,2.326463675
Aston Martin,0.937520531
Ferrari,0
Haas F1 Team,3.030361111
Kick Sauber,2.171045796
McLaren,0.940380159
Mercedes,1.108129928
RB,3.26040873
Red Bull Racing,0.76620873
Williams,0.869178315
