Driver,Gap
RUS,0.0
HAM,0.121
NOR,0.233
VER,0.306
PIA,0.44
HUL,0.334
SAI,0.641
STR,0.578
ALB,0.718
ALO,0.862
LEC,1.3
SAR,1.378
TSU,1.472
ZHO,1.964
RIC,2.072
BOT,6.634
MAG,6.877
OCO,7.905
PER,12.395
GAS,12.717
