,Team,LapsCount
0,Alpine,102
1,Aston Martin,121
2,Ferrari,145
3,Haas F1 Team,169
4,Kick Sauber,113
5,McLaren,111
6,Mercedes,116
7,RB,123
8,Red Bull Racing,119
9,Williams,121
