,Team,Compound,LapsCount
0,Alpine,HARD,79
1,Alpine,MEDIUM,42
2,Aston Martin,MEDIUM,131
3,Ferrari,MEDIUM,133
4,Haas F1 Team,MEDIUM,148
5,Kick Sauber,MEDIUM,131
6,McLaren,HARD,12
7,McLaren,MEDIUM,118
8,Mercedes,HARD,21
9,Mercedes,MEDIUM,101
10,RB,MEDIUM,105
11,RB,SOFT,11
12,Red Bull Racing,HARD,28
13,Red Bull Racing,MEDIUM,115
14,Williams,MEDIUM,44
15,Williams,SOFT,17
