LapNumber,Gap
44.0,7.416
45.0,7.289999999999996
46.0,6.26499999999999
47.0,6.1109999999999935
48.0,6.01799999999999
49.0,5.898
50.0,5.559999999999992
51.0,4.781999999999986
52.0,4.412999999999986
53.0,4.438999999999982
54.0,3.9419999999999824
55.0,3.017999999999976
56.0,2.2379999999999747
57.0,1.915999999999972
58.0,1.509999999999966
59.0,1.5519999999999676
60.0,1.6739999999999675
61.0,1.2759999999999714
62.0,1.0799999999999734
63.0,0.725
