Team,Gap
Ferrari,0.075
Red Bull Racing,0.372
Mercedes,0.298
McLaren,0.0
RB,0.663
Aston Martin,1.222
Alpine,0.649
Williams,0.753
Haas F1 Team,1.187
Kick Sauber,2.188
