Driver,Gap
SAI,0.143
LEC,0.3
VER,0.0
NOR,0.017
PIA,0.591
HAM,1.841
RUS,0.625
MAG,0.79
ALO,0.917
TSU,1.179
HUL,0.809
GAS,0.5
LAW,1.026
ALB,1.654
STR,1.379
PER,0.65
OCO,1.135
BOT,1.763
COL,1.749
ZHO,1.915
