Driver,Gap
PIA,0.036
NOR,0.075
SAI,0.513
LEC,0.183
RUS,0.464
VER,0.0
ALB,1.48
OCO,1.186
STR,1.272
HUL,0.827
RIC,0.789
PER,0.972
TSU,0.495
BOT,1.737
SAR,2.011
MAG,2.009
HAM,0.77
ALO,2.197
GAS,1.174
ZHO,2.114
