Driver,Team,Gap
RUS,Mercedes,0.0
HAM,Mercedes,0.237
VER,Red Bull Racing,0.258
NOR,McLaren,0.279
PIA,McLaren,0.361
RIC,RB,0.436
ALO,Aston Martin,0.486
TSU,RB,0.561
ALB,Williams,0.743
STR,Aston Martin,0.917
LEC,Ferrari,0.949
SAI,Ferrari,0.986
SAR,Williams,0.994
MAG,Haas F1 Team,1.174
GAS,Alpine,1.198
PER,Red Bull Racing,1.584
BOT,Kick Sauber,1.624
OCO,Alpine,1.693
HUL,Haas F1 Team,2.236
ZHO,Kick Sauber,2.55
