Driver,Gap
VER,0.0
NOR,0.285
RUS,0.438
SAI,0.511
HAM,0.596
LEC,0.682
PIA,0.444
PER,0.666
HUL,0.937
OCO,0.884
RIC,0.934
MAG,0.946
GAS,0.959
TSU,1.074
ALO,1.197
ALB,1.429
STR,1.509
BOT,1.41
SAR,1.536
ZHO,1.744
