Team,Points,GP
Red Bull Racing,14,China Sprint
Ferrari,9,China Sprint
Mercedes,8,China Sprint
McLaren,5,China Sprint
Aston Martin,0,China Sprint
Kick Sauber,0,China Sprint
Haas F1 Team,0,China Sprint
RB,0,China Sprint
Williams,0,China Sprint
Alpine,0,China Sprint
