,Driver,Gap
0,VER,0.0
1,NOR,1.14
2,SAI,1.24
3,RIC,1.255
4,GAS,1.461
5,STR,1.663
6,LEC,1.903
7,ALO,2.041
8,PIA,2.314
9,ZHO,2.527
10,SAR,2.538
11,RUS,2.765
12,TSU,2.792
13,BOT,3.087
14,ALB,3.243
15,OCO,3.333
16,MAG,4.348
17,HUL,4.562
