,Driver,Gap
0,LEC,0.0
1,RUS,0.046
2,ZHO,0.325
3,VER,0.433
4,TSU,0.453
5,ALB,0.662
6,PIA,0.708
7,ALO,0.837
8,SAI,0.925
9,PER,1.161
10,HUL,1.364
11,HAM,1.677
12,STR,1.716
13,NOR,1.786
14,GAS,1.827
15,MAG,2.731
16,OCO,2.757
17,BOT,3.206
18,RIC,6.693
