Driver,Avg Gap to Pole
ALB,1.391
ALO,0.5666
BOT,1.5852
DEV,4.5169999999999995
GAS,1.971
HAM,0.8023999999999999
HUL,1.3216
LEC,0.2468
MAG,1.8046
NOR,1.58
OCO,1.056
PER,0.11425
PIA,1.6468
RUS,0.768
SAI,0.5594
SAR,9.5632
STR,1.0837999999999999
TSU,1.5428000000000002
VER,0.13679999999999998
ZHO,1.6969999999999998
