Driver,Team,Gap
LEC,Ferrari,0.0
PIA,McLaren,0.154
SAI,Ferrari,0.248
NOR,McLaren,0.272
RUS,Mercedes,0.273
VER,Red Bull Racing,0.297
HAM,Mercedes,0.351
TSU,RB,0.588
GAS,Alpine,0.626
ALB,Williams,0.678
OCO,Alpine,1.015
HUL,Haas F1 Team,1.17
RIC,RB,1.212
STR,Aston Martin,1.293
MAG,Haas F1 Team,1.455
ALO,Aston Martin,1.749
SAR,Williams,1.75
PER,Red Bull Racing,1.79
BOT,Kick Sauber,2.242
ZHO,Kick Sauber,2.758
