,Driver,Gap
327,ALO,0.7696174253001875
328,TSU,0.8533929070092104
329,ALB,1.0600390952247953
330,COL,1.0678581401842935
331,PER,1.1773247696174116
332,MAG,1.2599832449036583
333,OCO,1.3895559899469418
334,RIC,1.742530019547599
335,STR,1.7525830773526818
336,GAS,1.9960904775202366
337,BOT,2.2865121474448444
338,ZHO,2.824909243228144
339,NOR,0.0
340,VER,0.03357521932200359
341,SAI,0.3487490523123608
342,LEC,0.4440593523231849
343,PIA,0.6715043864399486
344,RUS,0.6974981046247216
345,GAS,0.7451532546301337
346,PER,0.7473193978121929
347,ALO,1.0603270876204909
348,LAW,1.0928192353514572
349,MAG,1.2390339001408053
350,TSU,1.2736921910538308
351,HUL,1.3148489115130495
352,OCO,1.3722517058377515
353,STR,1.5477093035849692
354,ALB,1.863966208166364
355,COL,1.875879995667713
356,BOT,1.9733564388606117
357,HAM,1.975522582042671
358,ZHO,2.055669879779049
359,SAI,0.0
360,VER,0.29626313433229995
361,NOR,0.4134516630237368
362,LEC,0.420035288231115
363,RUS,0.5398572670054994
364,HAM,0.9282911542411691
365,MAG,1.2377215389882255
366,GAS,1.2456218892370867
367,ALB,1.372027493218868
368,HUL,1.3812445685092127
369,TSU,1.5576857240671096
370,LAW,1.601137650435847
371,ALO,1.609038000684708
372,STR,1.7749453559107775
373,BOT,1.9053011350169895
374,COL,2.1225607668606763
375,PIA,2.173913043478256
376,PER,2.192347194058945
377,OCO,2.200247544307806
378,ZHO,2.7993574381797655
379,VER,0.0
380,RUS,0.06830601092897022
381,NOR,0.31296572280180024
382,PIA,0.38375558867361836
383,LEC,0.41231992051665156
384,HAM,0.6097863884749126
385,SAI,0.6470442126179842
386,ALO,0.8544461003477426
387,MAG,1.07675111773473
388,PER,1.1239443616492812
389,GAS,1.1388474913065096
390,ZHO,1.2183308494784015
391,BOT,1.5039741679085923
392,TSU,1.5536512667660267
393,STR,1.727521112767021
394,ALB,2.3224043715847054
395,LAW,2.3484848484848553
396,HUL,2.3869846000993507
397,COL,2.5757575757575735
398,OCO,2.7247888723298592
399,NOR,0.0
400,PIA,0.2530419516919949
401,SAI,0.27725649252375956
402,HUL,0.35232156910224205
403,VER,0.42375446455595894
404,GAS,0.47097281917791123
405,RUS,0.6501604213330179
406,ALO,0.7276469519946718
407,BOT,0.7373327683273742
408,PER,0.8099763908226852
409,LEC,0.8559840184030606
410,TSU,0.9976390822689002
411,LAW,1.061807615473086
412,MAG,1.2555239421272548
413,STR,1.37296446516133
414,ALB,1.484351352987468
415,ZHO,1.5557842484411848
416,HAM,1.5642593377323104
417,COL,1.5945275137720287
418,DOO,1.8281978327986017
