Driver,GapSector1,GapSector2,GapSector3
LEC,0.14199999999999946,0.018000000000000682,0.0
VER,0.010999999999999233,0.2680000000000007,0.17800000000000082
HAM,0.1280000000000001,0.28300000000000125,0.09999999999999787
PIA,0.05900000000000105,0.0,0.030999999999998806
PER,0.5859999999999985,0.7920000000000016,0.5259999999999998
RUS,0.0,0.3060000000000045,0.1269999999999989
SAI,0.25,0.08500000000000085,0.0730000000000004
NOR,0.18799999999999883,0.1840000000000046,0.0259999999999998
TSU,0.3509999999999991,0.31400000000000006,0.08299999999999841
ALO,0.5399999999999991,0.8030000000000044,0.4089999999999989
GAS,0.23700000000000188,0.24500000000000455,0.2519999999999989
ALB,0.24299999999999855,0.4410000000000025,0.15399999999999991
HUL,0.42600000000000193,0.4750000000000014,0.4289999999999985
MAG,0.4140000000000015,0.6559999999999988,0.3829999999999991
STR,0.2980000000000018,0.6170000000000044,0.39199999999999946
OCO,0.45700000000000074,0.38300000000000267,0.33500000000000085
SAR,0.5560000000000009,0.911999999999999,0.44099999999999895
RIC,0.5259999999999998,0.5489999999999995,0.2970000000000006
ZHO,1.1430000000000007,1.0159999999999982,0.7590000000000003
BOT,0.8079999999999998,0.8520000000000039,0.6129999999999995
