Driver,Team,Gap
NOR,McLaren,0.0
VER,Red Bull Racing,0.02
HAM,Mercedes,0.318
RUS,Mercedes,0.32
LEC,Ferrari,0.348
SAI,Ferrari,0.353
GAS,Alpine,0.474
PIA,McLaren,0.628
PER,Red Bull Racing,0.671
OCO,Alpine,0.726
ALO,Aston Martin,0.745
BOT,Kick Sauber,0.844
HUL,Haas F1 Team,0.927
STR,Aston Martin,0.989
ZHO,Kick Sauber,1.355
MAG,Haas F1 Team,1.554
TSU,RB,1.602
RIC,RB,1.692
ALB,Williams,1.77
SAR,Williams,2.126
