Driver,Team,Gap
VER,Red Bull Racing,0.0
PIA,McLaren,0.074
NOR,McLaren,0.091
LEC,Ferrari,0.224
SAI,Ferrari,0.487
RUS,Mercedes,0.488
TSU,RB,0.612
HAM,Mercedes,0.758
HUL,Haas F1 Team,0.823
RIC,RB,0.928
PER,Red Bull Racing,0.96
OCO,Alpine,1.16
STR,Aston Martin,1.246
GAS,Alpine,1.269
ALB,Williams,1.454
BOT,Kick Sauber,1.88
ZHO,Kick Sauber,2.088
MAG,Haas F1 Team,2.108
ALO,Aston Martin,2.171
,,
