Team,LapTime
Alpine,96.01135294117648
Aston Martin,96.97937313432837
Ferrari,97.14786363636364
Haas F1 Team,98.507675
Kick Sauber,98.18039240506329
McLaren,97.08346376811596
Mercedes,98.1445223880597
RB,96.22490566037736
Red Bull Racing,95.21776785714287
Williams,96.8954705882353
