,Driver,Gap
0,SAI,0.0
1,PER,0.758
2,HAM,1.145
3,NOR,1.335
4,RIC,1.44
5,LEC,1.829
6,STR,2.108
7,OCO,2.14
8,BOT,2.306
9,PIA,2.407
10,SAR,2.657
11,ALO,3.132
12,ZHO,3.794
13,GAS,3.883
14,MAG,6.69
15,HUL,7.588
16,TSU,8.153
