Driver,Points,GP
VER,8,China Sprint
LEC,5,China Sprint
RUS,1,China Sprint
SAI,4,China Sprint
PER,6,China Sprint
ALO,0,China Sprint
NOR,3,China Sprint
PIA,2,China Sprint
HAM,7,China Sprint
HUL,0,China Sprint
TSU,0,China Sprint
STR,0,China Sprint
ALB,0,China Sprint
RIC,0,China Sprint
MAG,0,China Sprint
BOT,0,China Sprint
ZHO,0,China Sprint
SAR,0,China Sprint
OCO,0,China Sprint
GAS,0,China Sprint
BEA,0,China Sprint
