Driver,Points,AvgPoints
ALB,12,0.5
ALO,70,2.92
BEA,7,2.33
BOT,0,0
COL,5,0.56
GAS,42,1.75
HAM,223,9.29
HUL,41,1.71
LAW,4,0.67
LEC,356,14.83
MAG,16,0.73
NOR,374,15.58
OCO,23,0.96
PER,152,6.33
PIA,292,12.17
RUS,245,10.21
SAI,290,12.61
STR,24,1
TSU,30,1.25
VER,437,18.21
ZHO,4,0.17
