Driver,Team,Gap
NOR,McLaren,0.0
PIA,McLaren,0.022
VER,Red Bull Racing,0.046
SAI,Ferrari,0.469
HAM,Mercedes,0.627
LEC,Ferrari,0.664
ALO,Aston Martin,0.816
STR,Aston Martin,0.848
TSU,RB,0.894
RIC,RB,0.975
HUL,Haas F1 Team,1.09
BOT,Kick Sauber,1.157
ALB,Williams,1.202
SAR,Williams,1.316
MAG,Haas F1 Team,1.321
PER,Red Bull Racing,2.659
RUS,Mercedes,2.741
ZHO,Kick Sauber,2.81
OCO,Alpine,2.822
GAS,Alpine,2.939
