Driver,Gap
VER,0.2103
LEC,0.3976
RUS,0.4846
SAI,0.5569
PER,0.7984
PIA,0.9094
ALO,0.9673
RIC,0.9736
NOR,0.9897
ALB,1.1895
HAM,1.4866
GAS,1.8922
HUL,2.1656
TSU,2.2578
OCO,2.312
SAR,2.346
BOT,2.3677
MAG,2.5435
STR,2.6118
ZHO,2.8995
LAW,3.9808
